id,area_name,subarea_name,group1,group1_note,group2,group2_note,group3,group3_note,group4,group4_note,group5,group5_note,total_posting
34,横浜市戸塚区,横浜市戸塚区平戸町,250,,42,,94,,296,,170,,852
35,横浜市戸塚区,横浜市戸塚区俣野町,172,,38,,38,,100,,156,,504
36,横浜市戸塚区,横浜市戸塚区名瀬町,145,,107,,127,,127,,98,,604
37,横浜市戸塚区,横浜市戸塚区矢部町,259,,173,,189,,108,,96,,825
38,横浜市戸塚区,横浜市戸塚区汲沢1丁目,264,,279,,48,,153,,88,,832
39,横浜市戸塚区,横浜市戸塚区汲沢2丁目,167,,114,,24,,224,,16,,545
40,横浜市戸塚区,横浜市戸塚区汲沢3丁目,188,,243,,73,,111,,51,,666
41,横浜市戸塚区,横浜市戸塚区汲沢4丁目,7,,33,,49,,271,,72,,432
42,横浜市戸塚区,横浜市戸塚区汲沢5丁目,19,,241,,138,,66,,98,,562
43,横浜市戸塚区,横浜市戸塚区汲沢6丁目,279,,48,,36,,260,,13,,636
44,横浜市戸塚区,横浜市戸塚区汲沢7丁目,223,,248,,203,,137,,26,,837
45,横浜市戸塚区,横浜市戸塚区汲沢8丁目,179,,119,,22,,300,,238,,858
46,横浜市戸塚区,横浜市戸塚区原宿1丁目,127,,264,,296,,253,,3,,943
47,横浜市戸塚区,横浜市戸塚区原宿2丁目,158,,288,,275,,27,,106,,854
48,横浜市戸塚区,横浜市戸塚区原宿3丁目,73,,49,,38,,54,,139,,353
49,横浜市戸塚区,横浜市戸塚区原宿4丁目,91,,100,,92,,122,,31,,436
50,横浜市戸塚区,横浜市戸塚区原宿5丁目,38,,88,,189,,44,,18,,377
51,横浜市戸塚区,横浜市戸塚区南舞岡1丁目,112,,225,,58,,229,,290,,914
52,横浜市戸塚区,横浜市戸塚区南舞岡2丁目,193,,195,,135,,7,,166,,696
53,横浜市戸塚区,横浜市戸塚区南舞岡3丁目,93,,62,,47,,143,,152,,497
54,横浜市戸塚区,横浜市戸塚区南舞岡4丁目,47,,226,,266,,75,,78,,692
55,横浜市戸塚区,横浜市戸塚区柏尾町広町,213,,296,,211,,101,,93,,914
56,横浜市戸塚区,横浜市戸塚区平戸1丁目,216,,104,,126,,211,,53,,710
57,横浜市戸塚区,横浜市戸塚区平戸2丁目,48,,127,,90,,26,,249,,540
58,横浜市戸塚区,横浜市戸塚区平戸3丁目,231,,131,,70,,134,,59,,625
59,横浜市戸塚区,横浜市戸塚区平戸4丁目,191,,32,,265,,216,,62,,766
60,横浜市戸塚区,横浜市戸塚区平戸5丁目,120,,92,,104,,95,,43,,454
61,鎌倉市,鎌倉市稲村ガ崎,57,,110,,156,,151,,27,,501
62,鎌倉市,鎌倉市岡本,138,,137,,201,,8,,53,,537
63,鎌倉市,鎌倉市梶原,41,,182,,147,,125,,177,,672
64,鎌倉市,鎌倉市鎌倉山,282,,95,,0,,117,,242,,736
65,鎌倉市,鎌倉市関谷,286,,260,,258,,147,,133,,1084
66,鎌倉市,鎌倉市岩瀬,217,,202,,245,,110,,38,,812
67,鎌倉市,鎌倉市極楽寺,27,,113,,129,,25,,184,,478
68,鎌倉市,鎌倉市玉縄,40,,38,,20,,83,,91,,272
69,鎌倉市,鎌倉市御成町,235,,100,,111,,285,,231,,962
70,鎌倉市,鎌倉市高野,167,,45,,76,,299,,58,,645
71,鎌倉市,鎌倉市腰越,242,,248,,156,,77,,138,,861
72,鎌倉市,鎌倉市今泉,233,,148,,284,,294,,238,,1197
73,鎌倉市,鎌倉市今泉台,122,,156,,86,,151,,163,,678
74,鎌倉市,鎌倉市佐助,76,,69,,14,,73,,152,,384
75,鎌倉市,鎌倉市材木座,19,,137,,172,,130,,59,,517
76,鎌倉市,鎌倉市坂ノ下,158,,105,,289,,284,,45,,881
77,鎌倉市,鎌倉市笹目町,188,,274,,110,,1,,164,,737
78,鎌倉市,鎌倉市山ノ内,262,,192,,184,,172,,170,,980
79,鎌倉市,鎌倉市山崎,60,,269,,25,,166,,90,,610
80,鎌倉市,鎌倉市寺分,40,,157,,186,,37,,155,,575
81,鎌倉市,鎌倉市七里ガ浜,129,,92,,97,,204,,300,,822
82,鎌倉市,鎌倉市七里ガ浜東,79,,284,,145,,201,,171,,880
83,鎌倉市,鎌倉市手広,187,,55,,35,,249,,28,,554
84,鎌倉市,鎌倉市十二所,274,,97,,233,,6,,59,,669
85,鎌倉市,鎌倉市小袋谷,199,,214,,284,,190,,10,,897
86,鎌倉市,鎌倉市小町,181,,33,,263,,264,,269,,1010
87,鎌倉市,鎌倉市上町屋,131,,297,,141,,95,,61,,725
88,鎌倉市,鎌倉市城廻,22,,148,,127,,96,,130,,523
89,鎌倉市,鎌倉市常盤,29,,237,,295,,253,,19,,833
90,鎌倉市,鎌倉市浄明寺,247,,231,,89,,208,,22,,797
91,鎌倉市,鎌倉市植木,48,,229,,286,,17,,48,,628
92,鎌倉市,鎌倉市西鎌倉,225,,23,,282,,75,,250,,855
93,鎌倉市,鎌倉市西御門,89,,78,,90,,92,,159,,508
94,鎌倉市,鎌倉市雪ノ下,146,,152,,262,,138,,131,,829
95,鎌倉市,鎌倉市扇ガ谷,121,,73,,238,,211,,279,,922
96,鎌倉市,鎌倉市台,45,,274,,160,,190,,40,,709
97,鎌倉市,鎌倉市大船,235,,87,,239,,291,,184,,1036
98,鎌倉市,鎌倉市大町,74,,88,,163,,232,,223,,780
99,鎌倉市,鎌倉市長谷,79,,224,,131,,138,,174,,746
100,鎌倉市,鎌倉市津,196,,171,,288,,83,,151,,889
101,鎌倉市,鎌倉市津西,51,,192,,151,,43,,46,,483
102,鎌倉市,鎌倉市笛田,16,,261,,223,,134,,62,,696
103,鎌倉市,鎌倉市二階堂,172,,151,,220,,252,,162,,957
104,鎌倉市,鎌倉市由比ガ浜,81,,266,,114,,65,,128,,654
105,鎌倉市,鎌倉市稲村ガ崎1丁目,202,,160,,295,,207,,145,,1009
106,鎌倉市,鎌倉市稲村ガ崎2丁目,42,,269,,190,,121,,98,,720
107,鎌倉市,鎌倉市稲村ガ崎3丁目,209,,293,,99,,73,,291,,965
108,鎌倉市,鎌倉市稲村ガ崎4丁目,128,,75,,220,,18,,237,,678
109,鎌倉市,鎌倉市稲村ガ崎5丁目,4,,182,,133,,261,,66,,646
110,鎌倉市,鎌倉市岡本1丁目,246,,128,,174,,66,,43,,657
111,鎌倉市,鎌倉市岡本2丁目,118,,124,,140,,180,,125,,687
112,鎌倉市,鎌倉市梶原1丁目,174,,95,,246,,199,,234,,948
113,鎌倉市,鎌倉市梶原2丁目,37,,255,,126,,261,,46,,725
114,鎌倉市,鎌倉市梶原3丁目,288,,69,,32,,194,,216,,799
115,鎌倉市,鎌倉市梶原4丁目,148,,72,,180,,90,,233,,723
116,鎌倉市,鎌倉市梶原5丁目,244,,262,,254,,11,,241,,1012
117,鎌倉市,鎌倉市鎌倉山1丁目,60,,167,,187,,75,,25,,514
118,鎌倉市,鎌倉市鎌倉山2丁目,68,,98,,37,,266,,232,,701
119,鎌倉市,鎌倉市鎌倉山3丁目,128,,194,,96,,173,,167,,758
120,鎌倉市,鎌倉市鎌倉山4丁目,83,,24,,37,,185,,186,,515
121,鎌倉市,鎌倉市岩瀬1丁目,180,,141,,168,,42,,67,,598
122,鎌倉市,鎌倉市極楽寺1丁目,11,,72,,272,,285,,200,,840
123,鎌倉市,鎌倉市極楽寺2丁目,147,,194,,259,,278,,8,,886
124,鎌倉市,鎌倉市極楽寺3丁目,257,,180,,45,,175,,192,,849
125,鎌倉市,鎌倉市極楽寺4丁目,240,,235,,295,,284,,45,,1099
126,鎌倉市,鎌倉市玉縄1丁目,92,,64,,290,,38,,66,,550
127,鎌倉市,鎌倉市玉縄2丁目,187,,124,,288,,212,,99,,910
128,鎌倉市,鎌倉市玉縄3丁目,109,,129,,98,,83,,114,,533
129,鎌倉市,鎌倉市玉縄4丁目,37,,157,,161,,102,,117,,574
130,鎌倉市,鎌倉市玉縄5丁目,65,,282,,188,,298,,13,,846
131,鎌倉市,鎌倉市腰越1丁目,231,,251,,101,,14,,206,,803
132,鎌倉市,鎌倉市腰越2丁目,34,,257,,76,,149,,234,,750
133,鎌倉市,鎌倉市腰越3丁目,76,,273,,73,,265,,259,,946
134,鎌倉市,鎌倉市腰越4丁目,93,,31,,255,,86,,153,,618
135,鎌倉市,鎌倉市腰越5丁目,128,,175,,32,,86,,19,,440
136,鎌倉市,鎌倉市今泉1丁目,199,,53,,156,,186,,97,,691
137,鎌倉市,鎌倉市今泉2丁目,159,,180,,52,,56,,287,,734
138,鎌倉市,鎌倉市今泉3丁目,111,,155,,182,,146,,222,,816
139,鎌倉市,鎌倉市今泉4丁目,264,,190,,122,,230,,39,,845
140,鎌倉市,鎌倉市今泉5丁目,42,,155,,197,,164,,189,,747
141,鎌倉市,鎌倉市今泉台1丁目,12,,130,,155,,185,,225,,707
142,鎌倉市,鎌倉市今泉台2丁目,248,,66,,291,,204,,123,,932
143,鎌倉市,鎌倉市今泉台3丁目,177,,300,,36,,103,,48,,664
144,鎌倉市,鎌倉市今泉台4丁目,202,,113,,30,,164,,130,,639
145,鎌倉市,鎌倉市今泉台5丁目,278,,41,,197,,220,,7,,743
146,鎌倉市,鎌倉市今泉台6丁目,160,,202,,217,,33,,181,,793
147,鎌倉市,鎌倉市今泉台7丁目,240,,232,,94,,103,,191,,860
148,鎌倉市,鎌倉市佐助1丁目,278,,93,,193,,81,,213,,858
149,鎌倉市,鎌倉市佐助2丁目,271,,227,,21,,87,,275,,881
150,鎌倉市,鎌倉市材木座1丁目,44,,231,,117,,149,,105,,646
151,鎌倉市,鎌倉市材木座2丁目,259,,256,,274,,168,,191,,1148
152,鎌倉市,鎌倉市材木座3丁目,28,,145,,51,,79,,8,,311
153,鎌倉市,鎌倉市材木座4丁目,36,,288,,4,,101,,273,,702
154,鎌倉市,鎌倉市材木座5丁目,153,,34,,76,,8,,6,,277
155,鎌倉市,鎌倉市材木座6丁目,289,,209,,164,,292,,228,,1182
156,鎌倉市,鎌倉市寺分1丁目,70,,179,,78,,186,,26,,539
157,鎌倉市,鎌倉市寺分2丁目,135,,53,,182,,50,,156,,576
158,鎌倉市,鎌倉市寺分3丁目,262,,245,,289,,262,,51,,1109
159,鎌倉市,鎌倉市七里ガ浜1丁目,294,,68,,13,,83,,67,,525
160,鎌倉市,鎌倉市七里ガ浜2丁目,13,,94,,137,,171,,236,,651
161,鎌倉市,鎌倉市七里ガ浜東1丁目,0,,198,,222,,72,,131,,623
162,鎌倉市,鎌倉市七里ガ浜東2丁目,11,,202,,79,,210,,20,,522
163,鎌倉市,鎌倉市七里ガ浜東3丁目,259,,195,,264,,274,,9,,1001
164,鎌倉市,鎌倉市七里ガ浜東4丁目,16,,255,,275,,28,,22,,596
165,鎌倉市,鎌倉市七里ガ浜東5丁目,104,,194,,112,,242,,50,,702
166,鎌倉市,鎌倉市手広1丁目,299,,214,,104,,275,,196,,1088
167,鎌倉市,鎌倉市手広2丁目,181,,35,,9,,79,,154,,458
168,鎌倉市,鎌倉市手広3丁目,97,,76,,158,,273,,116,,720
169,鎌倉市,鎌倉市手広4丁目,12,,226,,42,,0,,47,,327
170,鎌倉市,鎌倉市手広5丁目,279,,144,,79,,265,,80,,847
171,鎌倉市,鎌倉市手広6丁目,17,,167,,68,,267,,127,,646
172,鎌倉市,鎌倉市小袋谷1丁目,178,,157,,124,,152,,100,,711
173,鎌倉市,鎌倉市小袋谷2丁目,90,,95,,293,,114,,68,,660
174,鎌倉市,鎌倉市小町1丁目,2,,236,,21,,223,,50,,532
175,鎌倉市,鎌倉市小町2丁目,39,,173,,21,,65,,209,,507
176,鎌倉市,鎌倉市小町3丁目,88,,143,,63,,100,,290,,684
177,鎌倉市,鎌倉市浄明寺1丁目,137,,216,,90,,102,,190,,735
178,鎌倉市,鎌倉市浄明寺2丁目,245,,36,,51,,18,,138,,488
179,鎌倉市,鎌倉市浄明寺3丁目,172,,112,,211,,231,,115,,841
180,鎌倉市,鎌倉市浄明寺4丁目,137,,44,,160,,143,,258,,742
181,鎌倉市,鎌倉市浄明寺5丁目,160,,64,,224,,226,,145,,819
182,鎌倉市,鎌倉市浄明寺6丁目,225,,58,,214,,274,,260,,1031
183,鎌倉市,鎌倉市西鎌倉1丁目,150,,232,,251,,73,,271,,977
184,鎌倉市,鎌倉市西鎌倉2丁目,51,,59,,115,,219,,4,,448
185,鎌倉市,鎌倉市西鎌倉3丁目,210,,114,,206,,45,,101,,676
186,鎌倉市,鎌倉市西鎌倉4丁目,107,,230,,240,,220,,89,,886
187,鎌倉市,鎌倉市西御門1丁目,293,,275,,162,,283,,153,,1166
188,鎌倉市,鎌倉市西御門2丁目,18,,238,,129,,90,,149,,624
189,鎌倉市,鎌倉市雪ノ下1丁目,166,,147,,285,,57,,209,,864
190,鎌倉市,鎌倉市雪ノ下2丁目,3,,48,,174,,213,,65,,503
191,鎌倉市,鎌倉市雪ノ下3丁目,136,,40,,11,,235,,82,,504
192,鎌倉市,鎌倉市雪ノ下4丁目,230,,58,,181,,287,,163,,919
193,鎌倉市,鎌倉市雪ノ下5丁目,82,,76,,249,,228,,253,,888
194,鎌倉市,鎌倉市扇ガ谷1丁目,18,,189,,123,,60,,90,,480
195,鎌倉市,鎌倉市扇ガ谷2丁目,215,,104,,245,,293,,27,,884
196,鎌倉市,鎌倉市扇ガ谷3丁目,104,,85,,125,,252,,298,,864
197,鎌倉市,鎌倉市扇ガ谷4丁目,99,,26,,92,,294,,273,,784
198,鎌倉市,鎌倉市台1丁目,45,,14,,166,,68,,271,,564
199,鎌倉市,鎌倉市台2丁目,264,,255,,248,,204,,40,,1011
200,鎌倉市,鎌倉市台3丁目,29,,39,,86,,236,,161,,551
201,鎌倉市,鎌倉市台4丁目,36,,242,,182,,204,,87,,751
202,鎌倉市,鎌倉市台5丁目,22,,88,,19,,271,,189,,589
203,鎌倉市,鎌倉市大船1丁目,141,,264,,32,,108,,33,,578
204,鎌倉市,鎌倉市大船2丁目,104,,238,,297,,156,,212,,1007
205,鎌倉市,鎌倉市大船3丁目,67,,263,,160,,63,,191,,744
206,鎌倉市,鎌倉市大船4丁目,73,,276,,284,,58,,70,,761
207,鎌倉市,鎌倉市大船5丁目,46,,109,,90,,122,,297,,664
208,鎌倉市,鎌倉市大船6丁目,91,,116,,98,,220,,12,,537
209,鎌倉市,鎌倉市大町1丁目,298,,226,,3,,125,,106,,758
210,鎌倉市,鎌倉市大町2丁目,179,,231,,228,,107,,257,,1002
211,鎌倉市,鎌倉市大町3丁目,158,,86,,151,,149,,137,,681
212,鎌倉市,鎌倉市大町4丁目,66,,206,,32,,186,,139,,629
213,鎌倉市,鎌倉市大町5丁目,80,,145,,256,,158,,70,,709
214,鎌倉市,鎌倉市大町6丁目,138,,166,,148,,282,,226,,960
215,鎌倉市,鎌倉市大町7丁目,201,,221,,212,,192,,64,,890
216,鎌倉市,鎌倉市長谷1丁目,234,,130,,115,,62,,138,,679
217,鎌倉市,鎌倉市長谷2丁目,171,,250,,154,,25,,53,,653
218,鎌倉市,鎌倉市長谷3丁目,231,,83,,189,,81,,145,,729
219,鎌倉市,鎌倉市長谷4丁目,155,,102,,188,,72,,112,,629
220,鎌倉市,鎌倉市長谷5丁目,216,,223,,32,,124,,73,,668
221,鎌倉市,鎌倉市津西1丁目,188,,118,,226,,196,,23,,751
222,鎌倉市,鎌倉市津西2丁目,228,,36,,273,,9,,182,,728
223,鎌倉市,鎌倉市笛田1丁目,267,,272,,300,,199,,183,,1221
224,鎌倉市,鎌倉市笛田2丁目,165,,9,,80,,170,,255,,679
225,鎌倉市,鎌倉市笛田3丁目,100,,204,,89,,271,,2,,666
226,鎌倉市,鎌倉市笛田4丁目,62,,42,,222,,129,,297,,752
227,鎌倉市,鎌倉市笛田5丁目,4,,83,,176,,178,,144,,585
228,鎌倉市,鎌倉市笛田6丁目,91,,50,,222,,259,,179,,801
229,鎌倉市,鎌倉市由比ガ浜1丁目,110,,32,,126,,273,,118,,659
230,鎌倉市,鎌倉市由比ガ浜2丁目,27,,280,,169,,128,,242,,846
231,鎌倉市,鎌倉市由比ガ浜3丁目,205,,71,,292,,99,,73,,740
232,鎌倉市,鎌倉市由比ガ浜4丁目,64,,200,,40,,294,,88,,686
233,足柄上郡大井町,足柄上郡大井町金子,92,,229,,23,,253,,151,,748
234,足柄上郡大井町,足柄上郡大井町金手,152,,99,,44,,102,,178,,575
235,足柄上郡大井町,足柄上郡大井町高尾,237,,248,,3,,128,,253,,869
236,足柄上郡大井町,足柄上郡大井町山田,94,,288,,63,,284,,20,,749
237,足柄上郡大井町,足柄上郡大井町篠窪,265,,113,,181,,34,,249,,842
238,足柄上郡大井町,足柄上郡大井町上大井,186,,287,,62,,46,,178,,759
239,足柄上郡大井町,足柄上郡大井町西大井,233,,294,,17,,167,,61,,772
240,足柄上郡大井町,足柄上郡大井町赤田,5,,31,,112,,67,,209,,424
241,足柄上郡大井町,足柄上郡大井町柳,82,,146,,74,,280,,273,,855
242,足柄上郡大井町,足柄上郡大井町金子中の町,114,,135,,98,,248,,28,,623
243,足柄上郡大井町,足柄上郡大井町金子深町,229,,154,,173,,88,,271,,915
244,愛甲郡愛川町,愛甲郡愛川町角田,267,,171,,83,,229,,290,,1040
245,愛甲郡愛川町,愛甲郡愛川町三増,154,,237,,248,,160,,40,,839
246,愛甲郡愛川町,愛甲郡愛川町春日台,227,,18,,266,,275,,117,,903
247,愛甲郡愛川町,愛甲郡愛川町棚澤,150,,123,,146,,163,,70,,652
248,愛甲郡愛川町,愛甲郡愛川町中津,265,,283,,142,,239,,147,,1076
249,愛甲郡愛川町,愛甲郡愛川町田代,22,,274,,147,,21,,183,,647
250,愛甲郡愛川町,愛甲郡愛川町八菅山,92,,85,,37,,293,,120,,627
251,愛甲郡愛川町,愛甲郡愛川町半原,278,,67,,207,,210,,96,,858
252,愛甲郡愛川町,愛甲郡愛川町春日台1丁目,188,,291,,206,,11,,78,,774
253,愛甲郡愛川町,愛甲郡愛川町春日台2丁目,91,,88,,77,,230,,157,,643
254,愛甲郡愛川町,愛甲郡愛川町春日台3丁目,283,,55,,107,,25,,45,,515
255,愛甲郡愛川町,愛甲郡愛川町春日台4丁目,84,,252,,144,,74,,97,,651
256,愛甲郡愛川町,愛甲郡愛川町春日台5丁目,133,,150,,59,,284,,50,,676
257,愛甲郡愛川町,愛甲郡愛川町田代戸倉,13,,227,,70,,93,,237,,640
258,足柄上郡開成町,足柄上郡開成町みなみ,246,,48,,253,,61,,198,,806
259,足柄上郡開成町,足柄上郡開成町円通寺,231,,62,,69,,129,,295,,786
260,足柄上郡開成町,足柄上郡開成町延沢,26,,144,,168,,207,,148,,693
261,足柄上郡開成町,足柄上郡開成町岡野,270,,110,,186,,229,,170,,965
262,足柄上郡開成町,足柄上郡開成町吉田島,159,,242,,218,,6,,13,,638
263,足柄上郡開成町,足柄上郡開成町宮台,144,,228,,173,,233,,234,,1012
264,足柄上郡開成町,足柄上郡開成町牛島,129,,154,,259,,166,,189,,897
265,足柄上郡開成町,足柄上郡開成町金井島,228,,157,,144,,285,,27,,841
266,足柄上郡開成町,足柄上郡開成町中之名,237,,230,,30,,87,,25,,609
267,足柄上郡開成町,足柄上郡開成町みなみ1丁目,8,,10,,157,,233,,217,,625
268,足柄上郡開成町,足柄上郡開成町みなみ2丁目,202,,1,,155,,154,,269,,781
269,足柄上郡開成町,足柄上郡開成町みなみ3丁目,7,,283,,280,,114,,223,,907
270,足柄上郡開成町,足柄上郡開成町みなみ4丁目,45,,154,,24,,204,,232,,659
271,足柄上郡開成町,足柄上郡開成町みなみ5丁目,153,,237,,107,,213,,92,,802
272,足柄上郡中井町,足柄上郡中井町井ノ口,280,,120,,178,,275,,216,,1069
273,足柄上郡中井町,足柄上郡中井町遠藤,176,,4,,278,,279,,186,,923
274,足柄上郡中井町,足柄上郡中井町鴨沢,111,,46,,176,,194,,268,,795
275,足柄上郡中井町,足柄上郡中井町岩倉,222,,66,,285,,223,,166,,962
276,足柄上郡中井町,足柄上郡中井町久所,152,,174,,184,,60,,61,,631
277,足柄上郡中井町,足柄上郡中井町境,12,,98,,0,,23,,290,,423
278,足柄上郡中井町,足柄上郡中井町境別所,131,,155,,113,,257,,5,,661
279,足柄上郡中井町,足柄上郡中井町古怒田,128,,65,,30,,168,,38,,429
280,足柄上郡中井町,足柄上郡中井町雑色,119,,24,,228,,272,,132,,775
281,足柄上郡中井町,足柄上郡中井町松本,229,,164,,125,,109,,197,,824
282,足柄上郡中井町,足柄上郡中井町田中,136,,22,,252,,64,,280,,754
283,足柄上郡中井町,足柄上郡中井町藤沢,278,,145,,252,,191,,128,,994
284,足柄上郡中井町,足柄上郡中井町半分形,86,,90,,123,,78,,238,,615
285,足柄上郡中井町,足柄上郡中井町比奈窪,155,,197,,284,,232,,205,,1073
286,足柄上郡中井町,足柄上郡中井町北田,298,,105,,240,,207,,229,,1079
287,足柄上郡中井町,足柄上郡中井町井ノ口米山,102,,81,,47,,253,,66,,549
288,横浜市都筑区,横浜市都筑区あゆみが丘,115,,194,,22,,14,,233,,578
289,横浜市都筑区,横浜市都筑区すみれが丘,284,,182,,35,,63,,260,,824
290,横浜市都筑区,横浜市都筑区荏田東,230,,276,,207,,217,,286,,1216
291,横浜市都筑区,横浜市都筑区荏田東町,128,,257,,176,,164,,246,,971
292,横浜市都筑区,横浜市都筑区荏田南,93,,21,,224,,149,,38,,525
293,横浜市都筑区,横浜市都筑区荏田南町,257,,212,,48,,267,,129,,913
294,横浜市都筑区,横浜市都筑区加賀原,294,,60,,117,,42,,145,,658
295,横浜市都筑区,横浜市都筑区葛が谷,109,,135,,22,,143,,35,,444
296,横浜市都筑区,横浜市都筑区茅ケ崎中央,137,,97,,296,,133,,17,,680
297,横浜市都筑区,横浜市都筑区茅ケ崎町,158,,240,,293,,102,,282,,1075
298,横浜市都筑区,横浜市都筑区茅ケ崎東,6,,250,,294,,60,,169,,779
299,横浜市都筑区,横浜市都筑区茅ケ崎南,206,,39,,34,,201,,197,,677
300,横浜市都筑区,横浜市都筑区牛久保,25,,230,,300,,44,,209,,808
301,横浜市都筑区,横浜市都筑区牛久保西,109,,7,,146,,34,,269,,565
302,横浜市都筑区,横浜市都筑区牛久保町,216,,151,,213,,179,,152,,911
303,横浜市都筑区,横浜市都筑区牛久保東,291,,154,,228,,154,,279,,1106
304,横浜市都筑区,横浜市都筑区見花山,210,,168,,103,,198,,95,,774
305,横浜市都筑区,横浜市都筑区高山,26,,80,,104,,186,,282,,678
306,横浜市都筑区,横浜市都筑区佐江戸町,212,,245,,207,,294,,92,,1050
307,横浜市都筑区,横浜市都筑区桜並木,141,,109,,36,,141,,123,,550
308,横浜市都筑区,横浜市都筑区勝田町,67,,208,,286,,262,,262,,1085
309,横浜市都筑区,横浜市都筑区勝田南,94,,226,,171,,141,,257,,889
310,横浜市都筑区,横浜市都筑区新栄町,43,,254,,201,,263,,291,,1052
311,横浜市都筑区,横浜市都筑区折本町,281,,298,,72,,107,,148,,906
312,横浜市都筑区,横浜市都筑区川向町,220,,47,,158,,285,,26,,736
313,横浜市都筑区,横浜市都筑区川和台,240,,6,,258,,210,,223,,937
314,横浜市都筑区,横浜市都筑区川和町,123,,279,,193,,180,,151,,926
315,横浜市都筑区,横浜市都筑区早渕,268,,119,,232,,37,,99,,755
316,横浜市都筑区,横浜市都筑区大丸,182,,149,,162,,36,,114,,643
317,横浜市都筑区,横浜市都筑区大熊町,270,,179,,167,,183,,183,,982
318,横浜市都筑区,横浜市都筑区大棚西,13,,77,,2,,63,,62,,217
319,横浜市都筑区,横浜市都筑区大棚町,90,,81,,222,,13,,239,,645
320,横浜市都筑区,横浜市都筑区池辺町,85,,229,,138,,137,,162,,751
321,横浜市都筑区,横浜市都筑区中川,208,,234,,258,,189,,114,,1003
322,横浜市都筑区,横浜市都筑区中川中央,246,,247,,98,,97,,194,,882
323,横浜市都筑区,横浜市都筑区仲町台,60,,190,,214,,228,,55,,747
324,横浜市都筑区,横浜市都筑区長坂,276,,257,,19,,189,,106,,847
325,横浜市都筑区,横浜市都筑区東山田,42,,242,,214,,159,,210,,867
326,横浜市都筑区,横浜市都筑区東山田町,119,,122,,268,,11,,157,,677
327,横浜市都筑区,横浜市都筑区東方町,285,,203,,58,,55,,33,,634
328,横浜市都筑区,横浜市都筑区南山田,181,,61,,66,,79,,293,,680
329,横浜市都筑区,横浜市都筑区南山田町,15,,87,,26,,149,,66,,343
330,横浜市都筑区,横浜市都筑区二の丸,230,,76,,169,,59,,182,,716
331,横浜市都筑区,横浜市都筑区富士見が丘,45,,161,,186,,116,,283,,791
332,横浜市都筑区,横浜市都筑区平台,29,,192,,205,,16,,37,,479
333,横浜市都筑区,横浜市都筑区北山田,36,,32,,179,,20,,28,,295
